,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,cctv,crime,distance_hospital,distance_library,distance_school
930,13934,37.57255539,127.0760563,36,199907,3.4,73,22,7400.0,15000.0,9700.0,동대문구,0.33490242433459866,1.5975047986498407,2.607877548516653,2497,3401,2.5960094768051696,0.29074394868261305,0.2490801751285232
931,5186,37.56920272,127.0510772,150,198312,3.8,61,18,20000.0,33800.0,28000.0,동대문구,0.8729345231008189,1.1563626457638487,1.2910302016217847,2497,3401,1.68698186870443,0.10637698628109435,0.3859218728015094
932,18862,37.52954916,127.0757275,43,200507,5.0,100,30,45000.0,98000.0,52000.0,광진구,0.2876176611668872,0.6598605271032608,1.0102911880136627,2588,3601,1.2671793594290823,0.1750928881558613,0.08206590134632047
933,5020,37.56886494,127.0864935,182,199911,4.2,84,25,39000.0,84700.0,58500.0,광진구,0.5514574602230916,0.3497683644025824,3.581506696672846,2588,3601,3.0884031627095765,0.4193093090443446,0.26070323746576024
934,12190,37.56657749,127.0460503,37,199507,4.0,113,34,46500.0,54000.0,48500.0,성동구,0.04980038683121407,0.2679333427635698,0.9877503232035874,3602,2362,1.1227260888330313,0.06326992507044749,0.3957264402108917
935,22654,37.57153131,127.0533948,2652,201410,4.1,82,25,51800.0,99700.0,66000.0,동대문구,0.9082369363704262,0.98957955538809,1.104972892760091,2497,3401,1.452539381634162,0.1768530421095107,0.3521728919661137
936,10815,37.56986284,127.0496972,114,200609,4.2,83,25,37400.0,62900.0,50000.0,동대문구,1.0148689266010011,1.0604490017356496,1.18750396339928,2497,3401,1.6130431378760564,0.0372828685429596,0.5185306259549526
937,5998,37.57287671,127.0806344,573,200211,3.5,67,20,31700.0,44800.0,36500.0,중랑구,0.235538495653337,0.574992272341466,2.199501703217275,3296,3726,1.2256782647665805,0.233402397566431,0.333608911788541
938,15970,37.53090577,127.0841553,75,200511,4.6,67,20,27800.0,59500.0,50500.0,광진구,0.15723378993510068,0.9252680167064163,1.1130275066803124,2588,3601,1.1434238411228088,0.2347907749003067,0.09279493132064343
939,12568,37.52994431,127.0830138,33,200311,0.0,83,25,36000.0,41300.0,37500.0,광진구,0.058259477095429245,0.9114501177248747,1.2495378135370285,2588,3601,1.2507915373654321,0.1756085196621847,0.17574712247454538
940,4118,37.52947874,127.0839274,150,199705,3.6,85,26,38500.0,57400.0,48500.0,광진구,0.15331383969744633,1.0059641773240324,1.203180085436274,2588,3601,1.3014801726821137,0.08553282790069046,0.2286673092567817
941,50139,37.5724759,127.085459,245,202012,0.0,79,24,65000.0,80000.0,72000.0,중랑구,0.10395252030887703,0.21572031105475933,2.2914496665406485,3296,3726,1.150514345621798,0.20533137296794132,0.3222621355623442
942,38423,37.5715287,127.04761,764,201811,4.5,62,19,46800.0,60700.0,55000.0,동대문구,1.2714807224917413,0.8637085550704924,0.9497372334489534,2497,3401,1.4464528536029961,0.2455461377311124,0.4300232167655845
943,19425,37.5719923,127.087646,34,200101,4.0,67,20,20000.0,24000.0,23500.0,중랑구,0.10536453439325809,0.22773207609134918,2.3898616061156823,3296,3726,1.2010248421340488,0.19926845594914258,0.49133309651335616
944,24780,37.5726234,127.087078,265,201510,4.2,85,26,45400.0,87800.0,56500.0,중랑구,0.09130131495346153,0.15065739523276417,2.3087961351969253,3296,3726,1.1286758483408599,0.19738649546237952,0.40800648293436736
945,19822,37.57265376,127.0461582,725,201012,4.2,80,24,46800.0,59000.0,54000.0,동대문구,1.4486597524712748,0.7540298577428863,0.7938098633308349,2497,3401,1.3519630976024357,0.16409625710726458,0.2817672532257908
946,17743,37.53001864,127.0897929,82,200809,5.0,175,53,69600.0,136000.0,73000.0,광진구,0.28740415926758817,0.7318290199231448,0.7558070658434033,2588,3601,1.3539424727613192,0.4953030626691472,0.1323349339062065
947,19722,37.55129219,127.0245391,847,201205,4.0,84,25,56700.0,101900.0,69000.0,성동구,0.23141558608277593,1.3119457551428748,1.56380360446204,3602,2362,1.4638682578748305,0.1192946333751624,0.3405042453966683
