학교명,위도,경도,구
서울구남초등학교,37.5370966,127.0922888,광진구
서울행림초등학교,37.48280761,126.9649643,동작구
서울홍은초등학교,37.59754027,126.949458,서대문구
서울연희초등학교,37.56904593,126.9341423,서대문구
서울용마초등학교,37.55782735,127.0835274,광진구
서울방학초등학교,37.66393373,127.032748,도봉구
서울강신초등학교,37.54209971,126.8295837,양천구
서울무학초등학교,37.56327474,127.0296135,성동구
서울오봉초등학교,37.67175795,127.040259,도봉구
서울창도초등학교,37.66413487,127.048784,도봉구
서울상곡초등학교,37.66290401,127.0620747,노원구
서울잠신초등학교,37.51411407,127.0879435,송파구
서울방화초등학교,37.56870373,126.8074982,강서구
서울성서초등학교,37.56059575,126.9109242,마포구
서울석촌초등학교,37.50263063,127.1052122,송파구
서울양천초등학교,37.57018817,126.8395397,강서구
서울신은초등학교,37.51391281,126.8321696,양천구
서울학동초등학교,37.51226106,127.0395978,강남구
서울고척초등학교,37.50094829,126.8569791,구로구
서울신창초등학교,37.63659186,127.0420843,도봉구
서울장안초등학교,37.54987645,127.0724025,광진구
서울새솔초등학교,37.61798909,127.1113284,중랑구
서울이수초등학교,37.47837133,126.9844171,서초구
서울남성초등학교,37.48459498,126.9754874,동작구
서울탑산초등학교,37.56701719,126.8523683,강서구
서울영중초등학교,37.5241433,126.9036955,영등포구
서울신양초등학교,37.53462395,127.0699953,광진구
서울길원초등학교,37.60906465,127.0167996,성북구
서울신미림초등학교,37.50714192,126.8795527,구로구
서울망우초등학교,37.59873698,127.1038418,중랑구
운현초등학교,37.57663053,126.9881575,종로구
서울역삼초등학교,37.49316528,127.0326527,강남구
서울남산초등학교,37.55978375,126.9867556,중구
서울효제초등학교,37.57268283,127.003491,종로구
서울원효초등학교,37.53616126,126.9515453,용산구
서울흑석초등학교,37.50829272,126.9651701,동작구
서울정수초등학교,37.60377489,127.0077189,성북구
서울가곡초등학교,37.55570761,126.8361031,강서구
서울정덕초등학교,37.59823995,127.0134213,성북구
서울화계초등학교,37.62388498,127.0297162,강북구
서울구현초등학교,37.60984462,126.9057958,은평구
서울천왕초등학교,37.48145598,126.8370629,구로구
서울연가초등학교,37.5795632,126.9173292,서대문구
서울고현초등학교,37.55380091,127.1660306,강동구
서울동의초등학교,37.55342245,127.0990473,광진구
서울혜화초등학교,37.58863443,127.0002536,종로구
서울정릉초등학교,37.61979605,127.0052561,성북구
서울용원초등학교,37.62992285,127.0689401,노원구
서울수서초등학교,37.49115148,127.1015496,강남구
리라초등학교,37.5578197,126.9879121,중구
서울초당초등학교,37.65862783,127.0219562,도봉구
서울인왕초등학교,37.59023007,126.9448045,서대문구
서울문교초등학교,37.46672027,126.9088159,금천구
은혜초등학교,37.61773281,126.9273984,은평구
선일초등학교,37.62030421,126.9119931,은평구
서울면목초등학교,37.5906966,127.0872878,중랑구
서울중광초등학교,37.56524214,127.082693,광진구
서울언주초등학교,37.486322,127.036793,강남구
서울청룡초등학교,37.47672527,126.9512057,관악구
서울성원초등학교,37.56698252,126.9050853,마포구
서울오류남초등학교,37.48968652,126.8391127,구로구
서울묵동초등학교,37.60335949,127.0808272,중랑구
서울상현초등학교,37.49487439,126.9526884,동작구
서울신월초등학교,37.54036551,126.8394555,강서구
