시군구명,시설명,상세주소,경도,위도
광진구,광양고등학교,서울특별시 광진구  자양로3가길 31  (자양동),127.086086,37.529349
마포구,창천초등학교 운동장 ,서울특별시 마포구 노고산동   33-1,126.939417,37.554733
강남구,배꽃근린공원,서울특별시 강남구 삼성동   11-3,127.044591,37.516291
강서구,발산초등학교 체육관,서울특별시 강서구  강서로45길 113  (내발산동),126.830947,37.549937
강서구,배다리공원,서울특별시 강서구 화곡동   341-24,126.8483,37.532078
은평구,역촌초등학교 운동장,서울특별시 은평구 역촌동   82-1,126.914348,37.601761
중랑구,신현초등학교운동장,서울특별시 중랑구 신내동   663-0,127.093668,37.605396
노원구,수락중학교 운동장,서울특별시 노원구 상계동   1254-0,127.05459,37.683195
동작구,숭실대학교,서울특별시 동작구 상도동   511-0,126.9569,37.4965
강남구,단대부속고등학교 운동장,서울특별시 강남구 대치동   1013-0,127.056675,37.496492
강동구,천호중학교,서울특별시 강동구  상암로 153  (천호동),127.139577,37.546398
관악구,새싹어린이공원,서울특별시 관악구 봉천동   1512-9,126.949537,37.484459
마포구,한서초등학교 운동장(염리동),서울특별시 마포구 염리동   24-140,126.949611,37.553415
광진구,광진중,서울특별시 광진구  뚝섬로64길 45  (자양동),127.052379,37.315611
성동구,성삼공원,서울특별시 성동구 성수동2가   273-11,127.060195,37.54197
동작구,사당중학교,서울특별시 동작구  사당로9가길 58  (사당동),126.968895,37.487813
강북구,벌말어린이공원,서울특별시 강북구 번동   235,127.039674,37.629678
성동구,무학중학교 운동장,서울특별시 성동구 행당동   322-1,127.032316,37.557433
송파구,방이공원,서울특별시 송파구 방이동   52,127.113852,37.514276
도봉구,효문고등학교,서울특별시 도봉구  우이천로 432  (쌍문동),127.018175,37.652557
강동구,성내중학교(운동장),서울특별시 강동구 성내동   530-0,127.129711,37.529172
강서구,양천초등학교운동장,서울특별시 강서구 가양동   272-11,126.83946,37.570024
양천구,신서고등학교  운동장,서울특별시 양천구 신정동   984-1,126.860093,37.523787
강서구,삼정초등학교 체육관,서울특별시 강서구  금낭화로 222  (방화동),126.810278,37.580104
은평구,역말공원,서울특별시 은평구 역촌동   47-1,126.914084,37.606825
서초구,방배중학교,서울특별시 서초구 반포동   586-1,126.998495,37.494511
관악구,송학어린이공원,서울특별시 관악구 봉천동   877-21,126.949352,37.480333
도봉구,서울쌍문초등학교,서울특별시 도봉구  우이천로 360  (쌍문동),127.024391,37.648603
은평구,역마을공원,서울특별시 은평구 역촌동   39-2,126.91844,37.601073
강동구,길동초등학교 운동장,서울특별시 강동구 길동   362,127.144465,37.538249
송파구,보성중학교 운동장,서울특별시 송파구 방이동   89-22,127.13463,37.519705
중랑구,봉화초등학교운동장,서울특별시 중랑구 신내동   655-0,127.091978,37.613223
강서구,가양초등학교운동장,서울특별시 강서구 가양동   1484,126.859024,37.561695
마포구,신석초등학교 운동장,서울특별시 마포구 신수동   445-1,126.937764,37.543817
강남구,대현초등학교 운동장,서울특별시 강남구 대치동   969,127.063879,37.503568
동작구,서울강남초등학교,서울특별시 동작구 상도1동   501-1,126.952734,37.506149
강북구,버드나무어린이공원,서울특별시 강북구 번동   228,127.034399,37.633975
강서구,방원중학교 체육관,서울특별시 강서구  금낭화로 268  (방화동),126.808814,37.575758
광진구,신자초,서울특별시 광진구  뚝섬로46길 64  (자양동),127.043162,37.314834
강동구,강동초등학교,서울특별시 강동구  상암로14길 77  (천호동),127.12997,37.54592
동작구,서울삼일초등학교,서울특별시 동작구  사당로23나길 27  (사당동),126.9751,37.4883
노원구,노일중학교,서울특별시 노원구 상계동   1044-0,127.053616,37.673181
성동구,응봉초등학교 운동장,서울특별시 성동구 응봉동   193-0,127.033748,37.550166
성동구,송정동 거주자우선 주차장,서울특별시 성동구 송정동   72-242,127.068453,37.553355
양천구,앞산어린이공원,서울특별시 양천구 신정동   910-9,126.858605,37.526389
송파구,서울방산초등학교 운동장,서울특별시 송파구 방이동   220-4,127.12097,37.509378
강동구,광문고등학교(운동장),서울특별시 강동구 고덕동   295-0,127.158191,37.560291
동작구,서울신상도초등학교,서울특별시 동작구 상도동   산65-59,126.944086,37.50038
강서구,염경초등학교 강당,서울특별시 강서구  양천로69길 49  (염창동),126.871235,37.554774
성북구,돈암초등학교(운동장),서울특별시 성북구 동소문동6가   27-1,127.012697,37.593451
강동구,해공도서관,서울특별시 강동구  올림픽로 702  (천호동),127.126409,37.544355
양천구,양목초등학교 운동장,서울특별시 양천구 신정동   1001-0,126.86164,37.52365
성동구,용답근린 공원,서울특별시 성동구 용답동   128-3,127.047262,37.570031
관악구,충효어린이공원,서울특별시 관악구 봉천동   1526-1,126.940974,37.481059
도봉구,백운중학교,서울특별시 도봉구  도봉로129길 50  (쌍문동),127.035956,37.656046
성동구,광희중학교 운동장,서울특별시 성동구 응봉동   193-0,127.033941,37.551102
강북구,수유1공원,서울특별시 강북구 수유동   605-389,127.01484,37.630671
동작구,영등포고등학교,서울특별시 동작구  등용로8길 5  (대방동),126.933666,37.508253
노원구,신상계초등학교 운동장,서울특별시 노원구 상계동   86-1,127.075815,37.667926
마포구,신수중학교 운동장,서울특별시 마포구 신수동   371-1,126.933646,37.546075
은평구,인조유기비공원,서울특별시 은평구 역촌동   8-11,126.91653,37.608791
강서구,아름공원,서울특별시 강서구 가양동   1465,126.848677,37.568713
서초구,서래초등학교,서울특별시 서초구 방배동   771,126.989243,37.496004
광진구,광양중,서울특별시 광진구  자양로3길 7  (자양동),127.050971,37.314839
강남구,도곡초등학교 운동장,서울특별시 강남구 대치동   924-10,127.054664,37.499055
강북구,삼산길마을마당,서울특별시 강북구 수유동   535-154,127.003721,37.643394
영등포구,영림초등학교,서울특별시 영등포구  시흥대로173길 14  (대림동),126.902911,37.487178
성동구,금북초등학교 운동장,서울특별시 성동구 금호동1가   48-2,127.023507,37.557059
동작구,장승중학교,서울특별시 동작구 상도동   175-1,126.9405,37.5034
송파구,서울세륜초등학교 운동장,서울특별시 송파구 방이동   89-23,127.133777,37.518578
노원구,계상초등학교 운동장,서울특별시 노원구 상계동   447-1,127.067825,37.663537
강서구,염경중학교 체육관,서울특별시 강서구  양천로69길 35  (염창동),126.870684,37.554496
은평구,연서공원,서울특별시 은평구 역촌동   32-36,126.91678,37.604034
강동구,강일고등학교,서울특별시 강동구  아리수로98길 40  (강일동),127.177464,37.564236
관악구,인헌고등학교 운동장,서울특별시 관악구 봉천동   174-5,126.970002,37.471585
서초구,방일초등학교,서울특별시 서초구 방배동   167-4,126.998103,37.485302
광진구,자양중,서울특별시 광진구  뚝섬로41길 33  (자양동),127.074499,37.53551
중랑구,면중초등학교,서울특별시 중랑구 면목동   491-1,127.09656,37.582071
양천구,호돌이어린이공원,서울특별시 양천구 신정동   896-22,126.866018,37.513755
