,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,distance_hospital,distance_library,distance_school,distance_eq_shelter,distance_fire_station,crime,cctv
2888,1440,37.50553179,126.8956151,1162,199710,4.3,56,17,41280.0,87680.0,69600.0,영등포구,377.5890881265336,1702.7146408072813,1174.0244978453918,1336.6976768057539,141.11767159722658,505.018619516143,144.83246638200237,1625.8552097297977,5217,3778
2889,6520,37.50355726,126.89213,299,200402,4.2,117,35,84480.0,85120.0,84800.0,구로구,258.1697025680644,592.2933404443323,787.3515723843208,1387.9481956275145,120.14100812338046,401.9052929516299,398.8840689615334,2461.571566685441,4175,4075
2890,4358,37.50764336,126.8873422,120,199707,3.9,90,27,63680.0,76640.0,68800.0,구로구,150.7982471893017,348.5606916450163,223.46362859959603,1703.4852847414465,215.1831425997455,288.2214085641359,293.484708060268,2240.0982248287905,4175,4075
2891,17997,37.51049613,126.8894507,90,200809,4.2,103,31,145600.0,157440.0,153600.0,구로구,79.37449218964123,232.6060084716757,190.92225168704235,2046.2700334407896,186.8752199030635,571.0237408660508,363.18258143083267,2564.0994254043912,4175,4075
2892,4338,37.50396885,126.8890261,344,198506,4.4,68,21,52160.0,80480.0,60800.0,구로구,399.4174268538834,565.9761583678561,644.05728344498,1330.8646911767735,212.3738561154125,154.8616809698799,150.11677642579437,2212.095878828832,4175,4075
2893,1259,37.50754809,126.8974988,142,199808,3.8,78,24,50560.0,64160.0,57600.0,영등포구,466.16220392114354,1423.7630735499997,984.6155993455772,1184.7997514475328,292.2049860803748,543.1614455955361,108.46701636850284,1350.888119110647,5217,3778
2894,10242,37.5072809,126.886619,304,200604,4.2,106,32,81760.0,81920.0,81600.0,구로구,226.17353330075557,422.98847636322836,275.94091617268236,1656.7091004944475,193.60631950100446,271.26731496039315,276.306777487842,2164.7505971061773,4175,4075
2895,4321,37.50255879,126.8919505,285,199511,4.2,74,22,46880.0,60320.0,53600.0,구로구,146.76302558522045,699.9557109195321,877.5381327565866,1282.3717617400644,65.79392878253842,375.6721452444971,444.20836859020244,2419.614225415626,4175,4075
2896,1421,37.50276662,126.8946147,280,199211,3.5,102,31,60800.0,60800.0,60800.0,영등포구,403.2386868475294,2002.8907644274536,1476.3163650677288,1072.4035856590235,215.27352005939983,235.31557860212325,164.000506620137,1940.2945316750593,5217,3778
2897,647,37.50384238,126.8966082,220,199510,4.4,76,23,58080.0,64480.0,61600.0,영등포구,220.72500217309215,1806.2256938936139,1371.1407656568642,1133.7634361039034,70.56166824048378,318.623954494197,67.32984254361705,1759.4871291572842,5217,3778
2898,3723,37.50854657,126.8858932,655,200005,4.1,85,26,71520.0,113760.0,88800.0,구로구,250.81353314992077,452.3065094785411,191.8689794311772,1792.934417918917,223.72741570464126,425.78633838325146,226.7657372004185,2182.812292072918,4175,4075
2899,6009,37.51060178,126.8868446,853,200305,4.6,114,34,115680.0,179200.0,136000.0,구로구,142.03268040326208,418.01490854603554,124.20975472973556,2026.3396705214761,189.34225945416242,351.99911455389844,134.60362941267277,2382.5744765331465,4175,4075
2900,2855,37.5126577,126.891477,390,198305,3.7,67,20,22240.0,49440.0,32800.0,영등포구,135.05629383170097,1092.734181737805,453.2975364983551,1280.065029962758,319.8237070242939,595.1794360632597,607.6939905364296,1292.5479344730072,5217,3778
2901,1416,37.50222622,126.8948416,476,199204,4.1,81,25,52800.0,68160.0,53600.0,영등포구,401.45200580069894,2041.626121374402,1536.8411966322265,1009.2667822203609,256.72023198254686,175.01599125907646,220.0489011795954,1986.2526489407471,5217,3778
2902,1519,37.50481277,126.8858491,450,199401,4.4,95,29,71200.0,71200.0,71200.0,구로구,476.09896978458136,636.2001515062395,506.58336528645344,1378.0785616215892,62.58389292226235,193.7176398679821,193.80978830537222,1982.5882846232364,4175,4075
2903,4364,37.50917096,126.8987317,346,200001,4.0,84,25,54880.0,106400.0,68800.0,영등포구,307.07132345671147,1215.0382221996344,856.4676123767563,1036.0944339153841,158.1307052358928,349.6999545180733,307.62217423206675,1141.2730867121568,5217,3778
2904,5022,37.50199368,126.8888435,73,199804,4.5,137,41,63200.0,77600.0,74400.0,구로구,288.2034327385663,781.5930864537088,625.9167066087599,1115.807356765942,145.4837030160166,271.87510462780904,240.63741747292903,2138.425732227769,4175,4075
2905,17525,37.5132423,126.890391,91,200805,3.3,107,32,77280.0,77280.0,77600.0,영등포구,44.37890045830508,1053.3151612816132,467.31114314358825,1328.387287249707,268.4519496066962,690.8630754019212,606.2810239782526,1346.8253050652156,5217,3778
2906,12378,37.50115271,126.8913961,155,200611,3.8,125,38,76640.0,80160.0,78400.0,구로구,51.44140044412943,852.0538633879205,851.1672126551365,1122.1788655634246,59.30805251994494,219.77572895074385,340.7959541290415,2342.0126217013963,4175,4075
2907,4357,37.50366299,126.8857468,124,199807,3.9,79,24,59680.0,64000.0,61600.0,구로구,407.22171352576436,736.9047055071184,418.9253990537565,1249.9262466409273,106.61734648048565,256.4292600881748,253.93247443758716,1927.384754857081,4175,4075
2908,10462,37.50157909,126.8887175,56,200009,4.0,99,30,42880.0,42880.0,43200.0,구로구,289.3138635357379,829.011978038637,613.359766746907,1068.5210299000735,100.26076528367022,232.47188506269197,203.15742625572986,2117.955809455023,4175,4075
2909,17511,37.50684372,126.8840861,118,200709,4.3,101,31,99520.0,100800.0,100000.0,구로구,446.32153272217624,648.6957266245312,437.6072239722577,1603.7152277447724,35.354687223175084,396.65827862641527,399.9987614955102,1947.0662820233645,4175,4075
2910,889,37.51153803,126.8860198,169,199212,3.5,89,27,63200.0,68000.0,65600.0,구로구,234.87875957076022,433.46075371233337,251.0716195396654,2125.738754046153,155.61526683424285,248.89774423746724,91.96959342107355,2389.8040179983827,4175,4075
2911,10461,37.50141704,126.8888489,54,200107,3.5,74,22,24320.0,37600.0,29600.0,구로구,275.95160178720437,843.8038247496029,625.3114453405277,1055.088885583598,81.36617911111577,211.36141905435124,203.5448137431157,2125.836696251054,4175,4075
2912,4312,37.50101413,126.8896411,67,199712,4.0,109,33,44800.0,67040.0,61600.0,구로구,206.87362905229668,875.1576193500126,697.9830742324535,1038.4398967834388,77.2963630381512,150.95320777554895,254.00381397175482,2186.7350032736986,4175,4075
2913,4044,37.50955045,126.8841996,813,200011,4.2,81,25,78240.0,139840.0,101600.0,구로구,395.482670511785,555.6740923828305,297.558180183785,1903.9949477137445,125.8657454897864,283.1866656736189,141.49305984371273,2126.133517313517,4175,4075
2914,5666,37.5137144,126.889423,382,200109,3.6,74,22,51040.0,60960.0,57600.0,영등포구,99.580866959446,1032.965471367441,505.2308145880857,1380.556708750592,264.371394446533,696.5511829228873,621.6264269295945,1403.5575766811094,5217,3778
2915,4313,37.50044659,126.8916867,82,199612,4.5,84,25,43840.0,55200.0,46400.0,구로구,91.56361401910385,931.8031903797571,884.7977119001648,1069.099347059582,105.02623778216068,190.90707300465616,280.70196954650226,2356.243018778371,4175,4075
