id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
17506,37.62889393,127.0186829,208,200801,4,86,26,61120,71520,69600
231,37.6423717,127.037531,952,199511,4.2,76,23,41920,54880,50400
20026,37.63957129,127.038273,38,200505,4,110,33,49600,49600,49600
4368,37.64708284,127.0352265,158,199909,4,67,20,38560,46720,42400
5644,37.63150653,127.0355273,245,200109,4,82,25,49920,69760,59200
6664,37.65054421,127.0294399,76,200211,4,74,22,54880,58560,57600
314,37.65146428,127.0247624,495,198705,4,88,27,33760,42720,39200
144,37.63060558,127.0354181,284,199806,4,81,25,44960,62880,54400
120,37.65160063,127.0274958,315,199608,4,75,23,48480,49920,48800
6629,37.6515822,127.0291819,190,200404,4,109,33,73600,81120,79200
51865,37.64625518,127.0098807,53,201506,0,52,16,32000,50560,44800
11507,37.65236595,127.0212589,287,199506,3.9,95,29,40640,47200,45600
5862,37.62677955,127.0305271,105,200010,3.2,75,23,45600,57600,52000
84580,37.6461358,127.009355,55,202012,0,59,18,55200,80000,57600
4371,37.63900814,127.0410463,121,199904,3.6,82,25,37280,55360,44000
15652,37.62597822,127.0194072,306,200611,3.7,78,24,57440,101440,74400
7115,37.62661725,127.0310164,50,199007,4,60,18,27200,34240,30400
785,37.64074136,127.0418449,609,199807,4,54,16,21600,36800,31200
16871,37.62593603,127.0313016,117,200603,3.5,77,23,26400,56320,43200
1064,37.63085303,127.0392519,900,199104,3.8,56,17,26240,46720,36800
5759,37.64804752,127.0389618,50,200110,3,202,61,74240,104160,89600
68670,37.62761181,127.0118584,48,200112,0,70,21,24800,35200,33600
14469,37.63343231,127.0425568,213,200510,3.5,80,24,50240,55680,53600
20629,37.62427104,127.0311559,168,198712,5,56,17,20800,31200,27200
7122,37.65172221,127.0113637,89,199510,0,95,29,53280,54400,54400
6435,37.63293848,127.0428239,135,200406,3.4,75,23,41600,68320,56000
13983,37.62274038,127.0270048,48,199610,4.3,77,23,30880,57600,42400
9865,37.62736095,127.0388422,225,200509,4.5,109,33,64640,64640,64800
3871,37.6263811,127.0375186,430,200307,4.3,81,25,42080,70880,54400
11093,37.65379063,127.0135942,154,200506,4,92,28,55840,79200,69600
4342,37.65503425,127.0311869,142,199502,4.2,77,23,41120,65920,54400
10868,37.63132027,127.0429227,571,199711,3.7,55,17,23360,32640,28800
10249,37.65600463,127.0274883,96,200412,4.7,43,13,25600,67360,54400
1340,37.65589257,127.0289116,582,200203,3.7,95,29,55520,58080,55200
2920,37.63299199,127.0442922,410,199804,3.2,55,17,20480,35360,29600
4204,37.62508387,127.0369334,54,199602,3.5,75,23,45120,62080,50400
9149,37.6316118,127.0439651,233,200409,4.4,78,24,51040,62400,52800
150,37.65468736,127.0344731,83,198812,4.7,56,17,25280,25920,25600
7140,37.65070662,127.0407536,54,199205,0,147,44,51200,51200,51200
11979,37.62156562,127.0264607,98,200903,3.8,90,27,58400,58400,58400
900,37.65683834,127.0217407,558,199309,3.8,104,31,47200,48000,48000
4205,37.62501883,127.0374681,90,199706,4.5,71,21,38080,47200,42400
4348,37.64630127,127.0444633,160,199208,3.8,135,41,52160,88960,65600
